State,Date,Number of Cases,Number of Deaths
South Carolina,2020-07-16,64083,1070
South Carolina,2020-07-15,62245,998
South Carolina,2020-07-14,60389,993
South Carolina,2020-07-13,58168,972
South Carolina,2020-07-12,56648,961
South Carolina,2020-07-11,54699,951
South Carolina,2020-07-10,52419,929
South Carolina,2020-07-09,50691,905
South Carolina,2020-07-08,48909,884
South Carolina,2020-07-07,47352,846
South Carolina,2020-07-06,46380,827
South Carolina,2020-07-05,44847,820
South Carolina,2020-07-04,43386,813
South Carolina,2020-07-03,41532,793
South Carolina,2020-07-02,39701,784
South Carolina,2020-07-01,37919,766
South Carolina,2020-06-30,36399,739
South Carolina,2020-06-29,34644,720
South Carolina,2020-06-28,33320,716
South Carolina,2020-06-27,31939,711
South Carolina,2020-06-26,30335,694
South Carolina,2020-06-25,29022,693
South Carolina,2020-06-24,27897,683
South Carolina,2020-06-23,26613,673
South Carolina,2020-06-22,25701,659
South Carolina,2020-06-21,24693,653
South Carolina,2020-06-20,23786,644
South Carolina,2020-06-19,22631,639
South Carolina,2020-06-18,21548,621
South Carolina,2020-06-17,20556,617
South Carolina,2020-06-16,19995,607
South Carolina,2020-06-15,19381,602
South Carolina,2020-06-14,18796,600
South Carolina,2020-06-13,17955,599
South Carolina,2020-06-12,17170,593
South Carolina,2020-06-11,16441,588
South Carolina,2020-06-10,15759,575
South Carolina,2020-06-09,15228,568
South Carolina,2020-06-08,14800,557
South Carolina,2020-06-07,14286,546
South Carolina,2020-06-06,13916,545
South Carolina,2020-06-05,13453,538
South Carolina,2020-06-04,13005,525
South Carolina,2020-06-03,12651,518
South Carolina,2020-06-02,12415,501
South Carolina,2020-06-01,12148,500
South Carolina,2020-05-31,11861,494
South Carolina,2020-05-30,11394,487
South Carolina,2020-05-29,11131,483
South Carolina,2020-05-28,10788,470
South Carolina,2020-05-27,10623,466
South Carolina,2020-05-26,10416,446
South Carolina,2020-05-25,10178,440
South Carolina,2020-05-24,10096,435
South Carolina,2020-05-23,9895,425
South Carolina,2020-05-22,9638,419
South Carolina,2020-05-21,9379,416
South Carolina,2020-05-20,9175,407
South Carolina,2020-05-19,9056,399
South Carolina,2020-05-18,8942,391
South Carolina,2020-05-17,8816,385
South Carolina,2020-05-16,8661,380
South Carolina,2020-05-15,8407,380
South Carolina,2020-05-14,8189,371
South Carolina,2020-05-13,8030,362
South Carolina,2020-05-12,7927,355
South Carolina,2020-05-11,7792,346
South Carolina,2020-05-10,7653,331
South Carolina,2020-05-09,7531,330
South Carolina,2020-05-08,7367,320
South Carolina,2020-05-07,7142,316
South Carolina,2020-05-06,6936,305
South Carolina,2020-05-05,6841,296
South Carolina,2020-05-04,6757,283
South Carolina,2020-05-03,6626,275
South Carolina,2020-05-02,6489,267
South Carolina,2020-05-01,6258,256
South Carolina,2020-04-30,6095,244
South Carolina,2020-04-29,5881,232
South Carolina,2020-04-28,5735,192
South Carolina,2020-04-27,5613,177
South Carolina,2020-04-26,5490,174
South Carolina,2020-04-25,5253,166
South Carolina,2020-04-24,5070,157
South Carolina,2020-04-23,4917,150
South Carolina,2020-04-22,4761,140
South Carolina,2020-04-21,4608,135
South Carolina,2020-04-20,4439,124
South Carolina,2020-04-19,4377,120
South Carolina,2020-04-18,4246,119
South Carolina,2020-04-17,4086,116
South Carolina,2020-04-16,3931,109
South Carolina,2020-04-15,3656,107
South Carolina,2020-04-14,3553,97
South Carolina,2020-04-13,3439,87
South Carolina,2020-04-12,3319,82
South Carolina,2020-04-11,3207,80
South Carolina,2020-04-10,3065,72
South Carolina,2020-04-09,2792,67
South Carolina,2020-04-08,2552,63
South Carolina,2020-04-07,2417,51
South Carolina,2020-04-06,2232,48
South Carolina,2020-04-05,2049,44
South Carolina,2020-04-04,1917,40
South Carolina,2020-04-03,1700,34
South Carolina,2020-04-02,1554,31
South Carolina,2020-04-01,1293,26
South Carolina,2020-03-31,1083,22
South Carolina,2020-03-30,925,18
South Carolina,2020-03-29,775,16
South Carolina,2020-03-28,661,15
South Carolina,2020-03-27,542,13
South Carolina,2020-03-26,456,9
South Carolina,2020-03-25,425,8
South Carolina,2020-03-24,342,8
South Carolina,2020-03-23,299,5
South Carolina,2020-03-22,194,3
South Carolina,2020-03-21,172,3
South Carolina,2020-03-20,126,3
South Carolina,2020-03-19,81,1
South Carolina,2020-03-18,60,1
South Carolina,2020-03-17,47,1
South Carolina,2020-03-16,33,1
South Carolina,2020-03-15,28,0
South Carolina,2020-03-14,19,0
South Carolina,2020-03-13,13,0
South Carolina,2020-03-12,12,0
South Carolina,2020-03-11,10,0
South Carolina,2020-03-10,9,0
South Carolina,2020-03-09,7,0
South Carolina,2020-03-08,6,0
South Carolina,2020-03-07,2,0
South Carolina,2020-03-06,2,0
Rhode Island,2021-03-21,133039,2595
Rhode Island,2021-03-20,133039,2595
Rhode Island,2021-03-19,133039,2595
Rhode Island,2021-03-18,132616,2594
Rhode Island,2021-03-17,132184,2588
Rhode Island,2021-03-16,131750,2583
Rhode Island,2021-03-15,131487,2576
Rhode Island,2021-03-14,130502,2567
Rhode Island,2021-03-13,130502,2567
Rhode Island,2021-03-12,130502,2567
Rhode Island,2021-03-11,130120,2563
Rhode Island,2021-03-10,129595,2559
Rhode Island,2021-03-09,129277,2556
Rhode Island,2021-03-08,128981,2549
Rhode Island,2021-03-07,128121,2541
Rhode Island,2021-03-06,128121,2541
Rhode Island,2021-03-05,128121,2541
Rhode Island,2021-03-04,127727,2539
Rhode Island,2021-03-03,127285,2534
Rhode Island,2021-03-02,126849,2525
Rhode Island,2021-03-01,126588,2517
Rhode Island,2021-02-28,125622,2502
Rhode Island,2021-02-27,125622,2502
Rhode Island,2021-02-26,125622,2502
Rhode Island,2021-02-25,125185,2496
Rhode Island,2021-02-24,124718,2487
Rhode Island,2021-02-23,124262,2476
Rhode Island,2021-02-22,123980,2466
Rhode Island,2021-02-21,123145,2376
Rhode Island,2021-02-20,123145,2376
Rhode Island,2021-02-19,123145,2376
Rhode Island,2021-02-18,122859,2367
Rhode Island,2021-02-17,122440,2352
Rhode Island,2021-02-16,122072,2344
Rhode Island,2021-02-15,121787,2334
Rhode Island,2021-02-14,120821,2290
Rhode Island,2021-02-13,120821,2290
Rhode Island,2021-02-12,120821,2290
Rhode Island,2021-02-11,120381,2274
Rhode Island,2021-02-10,119893,2259
Rhode Island,2021-02-09,119434,2248
Rhode Island,2021-02-08,119104,2236
Rhode Island,2021-02-07,117891,2212
Rhode Island,2021-02-06,117891,2212
Rhode Island,2021-02-05,117891,2212
Rhode Island,2021-02-04,117291,2209
Rhode Island,2021-02-03,116704,2198
Rhode Island,2021-02-02,116191,2186
Rhode Island,2021-02-01,115956,2173
Rhode Island,2021-01-31,114438,2154
Rhode Island,2021-01-30,114438,2154
Rhode Island,2021-01-29,114438,2154
Rhode Island,2021-01-28,113754,2144
Rhode Island,2021-01-27,113009,2135
Rhode Island,2021-01-26,112396,2126
Rhode Island,2021-01-25,111754,2110
Rhode Island,2021-01-24,109735,2083
Rhode Island,2021-01-23,109735,2083
Rhode Island,2021-01-22,109735,2083
Rhode Island,2021-01-21,108786,2076
Rhode Island,2021-01-20,107876,2058
Rhode Island,2021-01-19,107066,2045
Rhode Island,2021-01-18,104443,2005
Rhode Island,2021-01-17,104443,2005
Rhode Island,2021-01-16,104443,2005
Rhode Island,2021-01-15,104443,2005
Rhode Island,2021-01-14,103386,1996
Rhode Island,2021-01-13,102485,1987
Rhode Island,2021-01-12,101393,1970
Rhode Island,2021-01-11,100607,1947
Rhode Island,2021-01-10,97614,1916
Rhode Island,2021-01-09,97614,1916
Rhode Island,2021-01-08,97614,1916
Rhode Island,2021-01-07,96591,1910
Rhode Island,2021-01-06,95463,1890
Rhode Island,2021-01-05,93852,1870
Rhode Island,2021-01-04,92708,1855
Rhode Island,2021-01-03,87949,1777
Rhode Island,2021-01-02,87949,1777
Rhode Island,2021-01-01,87949,1777
Rhode Island,2020-12-31,87949,1777
Rhode Island,2020-12-30,87949,1777
Rhode Island,2020-12-29,86789,1760
Rhode Island,2020-12-28,85602,1742
Rhode Island,2020-12-27,82066,1704
Rhode Island,2020-12-26,82066,1704
Rhode Island,2020-12-25,82066,1704
Rhode Island,2020-12-24,82066,1704
Rhode Island,2020-12-23,82066,1704
Rhode Island,2020-12-22,81187,1678
Rhode Island,2020-12-21,80231,1670
Rhode Island,2020-12-20,77812,1625
Rhode Island,2020-12-19,77812,1625
Rhode Island,2020-12-18,77812,1625
Rhode Island,2020-12-17,77290,1602
Rhode Island,2020-12-16,76209,1590
Rhode Island,2020-12-15,75237,1570
Rhode Island,2020-12-14,74071,1555
Rhode Island,2020-12-13,70818,1509
Rhode Island,2020-12-12,70818,1509
Rhode Island,2020-12-11,70818,1509
Rhode Island,2020-12-10,69247,1498
Rhode Island,2020-12-09,68299,1484
Rhode Island,2020-12-08,67067,1470
Rhode Island,2020-12-07,65818,1448
Rhode Island,2020-12-06,62137,1413
Rhode Island,2020-12-05,62137,1413
Rhode Island,2020-12-04,62137,1413
Rhode Island,2020-12-03,60722,1400
Rhode Island,2020-12-02,59005,1391
Rhode Island,2020-12-01,57906,1380
Rhode Island,2020-11-30,56723,1373
Rhode Island,2020-11-29,53954,1346
Rhode Island,2020-11-28,53954,1346
Rhode Island,2020-11-27,53954,1346
Rhode Island,2020-11-26,52317,1335
Rhode Island,2020-11-25,52317,1335
Rhode Island,2020-11-24,51424,1325
Rhode Island,2020-11-23,50573,1309
Rhode Island,2020-11-22,48001,1294
Rhode Island,2020-11-21,48001,1294
Rhode Island,2020-11-20,48001,1294
Rhode Island,2020-11-19,46951,1288
Rhode Island,2020-11-18,45911,1284
Rhode Island,2020-11-17,44528,1278
Rhode Island,2020-11-16,43923,1270
Rhode Island,2020-11-15,41529,1254
Rhode Island,2020-11-14,41529,1254
Rhode Island,2020-11-13,41529,1254
Rhode Island,2020-11-12,40764,1250
Rhode Island,2020-11-11,39776,1243
Rhode Island,2020-11-10,38798,1237
Rhode Island,2020-11-09,38009,1233
Rhode Island,2020-11-08,36380,1224
Rhode Island,2020-11-07,36380,1224
Rhode Island,2020-11-06,36380,1224
Rhode Island,2020-11-05,35750,1222
Rhode Island,2020-11-04,35122,1214
Rhode Island,2020-11-03,34543,1212
Rhode Island,2020-11-02,34120,1210
Rhode Island,2020-11-01,32874,1201
Rhode Island,2020-10-31,32874,1201
Rhode Island,2020-10-30,32874,1201
Rhode Island,2020-10-29,32312,1195
Rhode Island,2020-10-28,31944,1192
Rhode Island,2020-10-27,31445,1188
Rhode Island,2020-10-26,31024,1184
Rhode Island,2020-10-25,30118,1177
Rhode Island,2020-10-24,30118,1177
Rhode Island,2020-10-23,30118,1177
Rhode Island,2020-10-22,29594,1173
Rhode Island,2020-10-21,29123,1169
Rhode Island,2020-10-20,28649,1164
Rhode Island,2020-10-19,28347,1159
Rhode Island,2020-10-18,27691,1152
Rhode Island,2020-10-17,27691,1152
Rhode Island,2020-10-16,27691,1152
Rhode Island,2020-10-15,27438,1149
Rhode Island,2020-10-14,27164,1147
Rhode Island,2020-10-13,26960,1139
Rhode Island,2020-10-12,26294,1130
Rhode Island,2020-10-11,26294,1130
Rhode Island,2020-10-10,26294,1130
Rhode Island,2020-10-09,26294,1130
Rhode Island,2020-10-08,26045,1127
Rhode Island,2020-10-07,25776,1126
Rhode Island,2020-10-06,25596,1125
Rhode Island,2020-10-05,25419,1121
Rhode Island,2020-10-04,25076,1118
Rhode Island,2020-10-03,25076,1118
Rhode Island,2020-10-02,25076,1118
Rhode Island,2020-10-01,24914,1117
Rhode Island,2020-09-30,24748,1114
Rhode Island,2020-09-29,24556,1113
Rhode Island,2020-09-28,24424,1110
Rhode Island,2020-09-27,24181,1107
Rhode Island,2020-09-26,24181,1107
Rhode Island,2020-09-25,24181,1107
Rhode Island,2020-09-24,24311,1106
Rhode Island,2020-09-23,24177,1102
Rhode Island,2020-09-22,24044,1099
Rhode Island,2020-09-21,23932,1097
Rhode Island,2020-09-20,23620,1088
Rhode Island,2020-09-19,23620,1088
Rhode Island,2020-09-18,23620,1088
Rhode Island,2020-09-17,23488,1085
Rhode Island,2020-09-16,23358,1081
Rhode Island,2020-09-15,23250,1078
Rhode Island,2020-09-14,23130,1075
Rhode Island,2020-09-13,22905,1071
Rhode Island,2020-09-12,22905,1071
Rhode Island,2020-09-11,22905,1071
Rhode Island,2020-09-10,22782,1067
Rhode Island,2020-09-09,22676,1062
Rhode Island,2020-09-08,22592,1059
Rhode Island,2020-09-07,22243,1055
Rhode Island,2020-09-06,22243,1055
Rhode Island,2020-09-05,22243,1055
Rhode Island,2020-09-04,22243,1055
Rhode Island,2020-09-03,22143,1055
Rhode Island,2020-09-02,22078,1051
Rhode Island,2020-09-01,22002,1050
Rhode Island,2020-08-31,21949,1048
Rhode Island,2020-08-30,21683,1046
Rhode Island,2020-08-29,21683,1046
Rhode Island,2020-08-28,21683,1046
Rhode Island,2020-08-27,21589,1044
Rhode Island,2020-08-26,21454,1041
Rhode Island,2020-08-25,21372,1039
Rhode Island,2020-08-24,21302,1035
Rhode Island,2020-08-23,21022,1030
Rhode Island,2020-08-22,21022,1030
Rhode Island,2020-08-21,21022,1030
Rhode Island,2020-08-20,20871,1028
Rhode Island,2020-08-19,20795,1027
Rhode Island,2020-08-18,20692,1024
Rhode Island,2020-08-17,20572,1023
Rhode Island,2020-08-16,20335,1021
Rhode Island,2020-08-15,20335,1021
Rhode Island,2020-08-14,20335,1021
Rhode Island,2020-08-13,20240,1019
Rhode Island,2020-08-12,20129,1018
Rhode Island,2020-08-11,20053,1016
Rhode Island,2020-08-10,19934,1015
Rhode Island,2020-08-09,19738,1014
Rhode Island,2020-08-08,19738,1014
Rhode Island,2020-08-07,19738,1014
Rhode Island,2020-08-06,19611,1014
Rhode Island,2020-08-05,19481,1012
Rhode Island,2020-08-04,19390,1011
Rhode Island,2020-08-03,19246,1010
Rhode Island,2020-08-02,19022,1007
Rhode Island,2020-08-01,19022,1007
Rhode Island,2020-07-31,19022,1007
Rhode Island,2020-07-30,18950,1007
Rhode Island,2020-07-29,18800,1007
Rhode Island,2020-07-28,18725,1005
Rhode Island,2020-07-27,18515,1004
Rhode Island,2020-07-26,18224,1002
Rhode Island,2020-07-25,18224,1002
Rhode Island,2020-07-24,18224,1002
Rhode Island,2020-07-23,18148,1001
Rhode Island,2020-07-22,18062,997
Rhode Island,2020-07-21,17986,996
Rhode Island,2020-07-20,17904,995
Rhode Island,2020-07-19,17793,990
Rhode Island,2020-07-18,17793,990
Rhode Island,2020-07-17,17793,990
Rhode Island,2020-07-16,17711,988
Rhode Island,2020-07-15,17640,987
Rhode Island,2020-07-14,17588,985
Rhode Island,2020-07-13,17487,984
Rhode Island,2020-07-12,17312,976
Rhode Island,2020-07-11,17312,976
Rhode Island,2020-07-10,17312,976
Rhode Island,2020-07-09,17243,974
Rhode Island,2020-07-08,17204,971
Rhode Island,2020-07-07,17154,969
Rhode Island,2020-07-06,16991,960
Rhode Island,2020-07-05,16991,960
Rhode Island,2020-07-04,16991,960
Rhode Island,2020-07-03,16991,960
Rhode Island,2020-07-02,16941,959
Rhode Island,2020-07-01,16853,956
Rhode Island,2020-06-30,16813,950
Rhode Island,2020-06-29,16764,946
Rhode Island,2020-06-28,16661,927
Rhode Island,2020-06-27,16661,927
Rhode Island,2020-06-26,16661,927
Rhode Island,2020-06-25,16640,920
Rhode Island,2020-06-24,16606,912
Rhode Island,2020-06-23,16533,906
Rhode Island,2020-06-22,16459,903
Rhode Island,2020-06-21,16337,894
Rhode Island,2020-06-20,16337,894
Rhode Island,2020-06-19,16337,894
Rhode Island,2020-06-18,16269,885
Rhode Island,2020-06-17,16213,876
Rhode Island,2020-06-16,16164,865
Rhode Island,2020-06-15,16093,851
Rhode Island,2020-06-14,15947,833
Rhode Island,2020-06-13,15947,833
Rhode Island,2020-06-12,15947,833
Rhode Island,2020-06-11,15862,823
Rhode Island,2020-06-10,15756,812
Rhode Island,2020-06-09,15691,808
Rhode Island,2020-06-08,15642,799
Rhode Island,2020-06-07,15441,772
Rhode Island,2020-06-06,15441,772
Rhode Island,2020-06-05,15441,772
Rhode Island,2020-06-04,15325,756
Rhode Island,2020-06-03,15219,742
Rhode Island,2020-06-02,15112,732
Rhode Island,2020-06-01,14991,720
Rhode Island,2020-05-31,14928,718
Rhode Island,2020-05-30,14819,711
Rhode Island,2020-05-29,14635,693
Rhode Island,2020-05-28,14494,677
Rhode Island,2020-05-27,14353,655
Rhode Island,2020-05-26,14210,634
Rhode Island,2020-05-25,14065,608
Rhode Island,2020-05-24,14065,608
Rhode Island,2020-05-23,13952,597
Rhode Island,2020-05-22,13736,579
Rhode Island,2020-05-21,13571,556
Rhode Island,2020-05-20,13356,538
Rhode Island,2020-05-19,12951,532
Rhode Island,2020-05-18,12795,506
Rhode Island,2020-05-17,12674,499
Rhode Island,2020-05-16,12434,489
Rhode Island,2020-05-15,12219,479
Rhode Island,2020-05-14,12016,468
Rhode Island,2020-05-13,11835,462
Rhode Island,2020-05-12,11614,444
Rhode Island,2020-05-11,11450,430
Rhode Island,2020-05-10,11274,422
Rhode Island,2020-05-09,10989,418
Rhode Island,2020-05-08,10779,399
Rhode Island,2020-05-07,10530,388
Rhode Island,2020-05-06,10205,370
Rhode Island,2020-05-05,9933,355
Rhode Island,2020-05-04,9652,341
Rhode Island,2020-05-03,9477,320
Rhode Island,2020-05-02,9289,296
Rhode Island,2020-05-01,8962,279
Rhode Island,2020-04-30,8621,266
Rhode Island,2020-04-29,8247,251
Rhode Island,2020-04-28,7926,239
Rhode Island,2020-04-27,7708,233
Rhode Island,2020-04-26,7439,226
Rhode Island,2020-04-25,7129,215
Rhode Island,2020-04-24,6699,202
Rhode Island,2020-04-23,6256,189
Rhode Island,2020-04-22,5841,181
Rhode Island,2020-04-21,5500,171
Rhode Island,2020-04-20,5090,155
Rhode Island,2020-04-19,4706,150
Rhode Island,2020-04-18,4491,137
Rhode Island,2020-04-17,4177,118
Rhode Island,2020-04-16,3838,105
Rhode Island,2020-04-15,3529,87
Rhode Island,2020-04-14,3251,80
Rhode Island,2020-04-13,2976,73
Rhode Island,2020-04-12,2665,63
Rhode Island,2020-04-11,2349,56
Rhode Island,2020-04-10,2015,49
Rhode Island,2020-04-09,1727,43
Rhode Island,2020-04-08,1450,35
Rhode Island,2020-04-07,1229,30
Rhode Island,2020-04-06,1082,27
Rhode Island,2020-04-05,922,25
Rhode Island,2020-04-04,806,17
Rhode Island,2020-04-03,711,14
Rhode Island,2020-04-02,657,12
Rhode Island,2020-04-01,566,10
Rhode Island,2020-03-31,488,8
Rhode Island,2020-03-30,408,4
Rhode Island,2020-03-29,294,3
Rhode Island,2020-03-28,239,2
Rhode Island,2020-03-27,203,0
Rhode Island,2020-03-26,165,0
Rhode Island,2020-03-25,132,0
Rhode Island,2020-03-24,124,0
Rhode Island,2020-03-23,106,0
Rhode Island,2020-03-22,83,0
Rhode Island,2020-03-21,66,0
Rhode Island,2020-03-20,44,0
Rhode Island,2020-03-19,44,0
Rhode Island,2020-03-18,33,0
Rhode Island,2020-03-17,23,0
Rhode Island,2020-03-16,21,0
Rhode Island,2020-03-15,20,0
Rhode Island,2020-03-14,20,0
Rhode Island,2020-03-13,20,0
Rhode Island,2020-03-12,5,0
Rhode Island,2020-03-11,5,0
Rhode Island,2020-03-10,5,0
Rhode Island,2020-03-09,3,0
Rhode Island,2020-03-08,3,0
Rhode Island,2020-03-07,3,0
Rhode Island,2020-03-06,3,0
Rhode Island,2020-03-05,2,0
Rhode Island,2020-03-04,2,0
Rhode Island,2020-03-03,2,0
Rhode Island,2020-03-02,2,0
Rhode Island,2020-03-01,2,0
Puerto Rico,2021-03-21,138131,2096
Puerto Rico,2021-03-20,137836,2096
Puerto Rico,2021-03-19,137510,2092
Puerto Rico,2021-03-18,137294,2089
Puerto Rico,2021-03-17,136962,2085
Puerto Rico,2021-03-16,136893,2083
Puerto Rico,2021-03-15,136826,2081
Puerto Rico,2021-03-14,136610,2080
Puerto Rico,2021-03-13,136417,2077
Puerto Rico,2021-03-12,136182,2077
Puerto Rico,2021-03-11,136022,2073
Puerto Rico,2021-03-10,135666,2071
Puerto Rico,2021-03-09,135552,2067
Puerto Rico,2021-03-08,135552,2066
Puerto Rico,2021-03-07,135432,2065
Puerto Rico,2021-03-06,134942,2059
Puerto Rico,2021-03-05,134681,2056
Puerto Rico,2021-03-04,134482,2053
Puerto Rico,2021-03-03,134380,2048
Puerto Rico,2021-03-02,134350,2040
Puerto Rico,2021-03-01,134199,2037
Puerto Rico,2021-02-28,133912,2036
Puerto Rico,2021-02-27,133659,2032
Puerto Rico,2021-02-26,133475,2023
Puerto Rico,2021-02-25,133234,2016
Puerto Rico,2021-02-24,133134,2007
Puerto Rico,2021-02-23,133091,1986
Puerto Rico,2021-02-22,132872,1983
Puerto Rico,2021-02-21,132699,1979
Puerto Rico,2021-02-20,132450,1957
Puerto Rico,2021-02-19,132239,1947
Puerto Rico,2021-02-18,132121,1940
Puerto Rico,2021-02-17,132043,1930
Puerto Rico,2021-02-16,131932,1924
Puerto Rico,2021-02-15,131452,1920
Puerto Rico,2021-02-14,131224,1919
Puerto Rico,2021-02-13,130928,1915
Puerto Rico,2021-02-12,130539,1907
Puerto Rico,2021-02-11,130251,1902
Puerto Rico,2021-02-10,130109,1897
Puerto Rico,2021-02-09,130017,1893
Puerto Rico,2021-02-08,129776,1888
Puerto Rico,2021-02-07,129454,1883
Puerto Rico,2021-02-06,128970,1872
Puerto Rico,2021-02-05,128679,1867
Puerto Rico,2021-02-04,128599,1861
Puerto Rico,2021-02-03,128277,1853
Puerto Rico,2021-02-02,128141,1846
Puerto Rico,2021-02-01,127853,1836
Puerto Rico,2021-01-31,127239,1829
Puerto Rico,2021-01-30,127021,1823
Puerto Rico,2021-01-29,126583,1812
Puerto Rico,2021-01-28,126156,1801
Puerto Rico,2021-01-27,125859,1794
Puerto Rico,2021-01-26,125684,1783
Puerto Rico,2021-01-25,125211,1778
Puerto Rico,2021-01-24,124643,1773
Puerto Rico,2021-01-23,123688,1771
Puerto Rico,2021-01-22,122897,1761
Puerto Rico,2021-01-21,122343,1732
Puerto Rico,2021-01-20,122128,1717
Puerto Rico,2021-01-19,121988,1703
Puerto Rico,2021-01-18,121554,1703
Puerto Rico,2021-01-17,120996,1703
Puerto Rico,2021-01-16,120138,1703
Puerto Rico,2021-01-15,119569,1692
Puerto Rico,2021-01-14,118431,1679
Puerto Rico,2021-01-13,118254,1659
Puerto Rico,2021-01-12,118042,1645
Puerto Rico,2021-01-11,117083,1642
Puerto Rico,2021-01-10,116734,1630
Puerto Rico,2021-01-09,116245,1616
Puerto Rico,2021-01-08,115682,1592
Puerto Rico,2021-01-07,113513,1588
Puerto Rico,2021-01-06,113227,1570
Puerto Rico,2021-01-05,112934,1562
Puerto Rico,2021-01-04,112420,1555
Puerto Rico,2021-01-03,111784,1545
Puerto Rico,2021-01-02,111547,1526
Puerto Rico,2021-01-01,110669,1521
Puerto Rico,2020-12-31,109906,1503
Puerto Rico,2020-12-30,109503,1484
Puerto Rico,2020-12-29,109405,1460
Puerto Rico,2020-12-28,107273,1456
Puerto Rico,2020-12-27,106842,1445
Puerto Rico,2020-12-26,106058,1432
Puerto Rico,2020-12-25,105039,1432
Puerto Rico,2020-12-24,104423,1423
Puerto Rico,2020-12-23,104103,1408
Puerto Rico,2020-12-22,103527,1391
Puerto Rico,2020-12-21,102464,1382
Puerto Rico,2020-12-20,102048,1368
Puerto Rico,2020-12-19,100826,1342
Puerto Rico,2020-12-18,99747,1333
Puerto Rico,2020-12-17,98366,1323
Puerto Rico,2020-12-16,97301,1312
Puerto Rico,2020-12-15,97034,1294
Puerto Rico,2020-12-14,96600,1282
Puerto Rico,2020-12-13,96046,1272
Puerto Rico,2020-12-12,95338,1266
Puerto Rico,2020-12-11,94617,1249
Puerto Rico,2020-12-10,93073,1238
Puerto Rico,2020-12-09,92577,1219
Puerto Rico,2020-12-08,91931,1205
Puerto Rico,2020-12-07,91237,1202
Puerto Rico,2020-12-06,90286,1191
Puerto Rico,2020-12-05,89147,1184
Puerto Rico,2020-12-04,88212,1172
Puerto Rico,2020-12-03,87720,1155
Puerto Rico,2020-12-02,87323,1144
Puerto Rico,2020-12-01,86935,1122
Puerto Rico,2020-11-30,86160,1106
Puerto Rico,2020-11-29,85317,1094
Puerto Rico,2020-11-28,85196,1083
Puerto Rico,2020-11-27,84293,1076
Puerto Rico,2020-11-26,82841,1069
Puerto Rico,2020-11-25,82340,1052
Puerto Rico,2020-11-24,82163,1038
Puerto Rico,2020-11-23,81815,1032
Puerto Rico,2020-11-22,81074,1017
Puerto Rico,2020-11-21,80049,1012
Puerto Rico,2020-11-20,78950,991
Puerto Rico,2020-11-19,78046,982
Puerto Rico,2020-11-18,77525,971
Puerto Rico,2020-11-17,77200,951
Puerto Rico,2020-11-16,76631,942
Puerto Rico,2020-11-15,76094,935
Puerto Rico,2020-11-14,75387,921
Puerto Rico,2020-11-13,74734,914
Puerto Rico,2020-11-12,74067,909
Puerto Rico,2020-11-11,72735,901
Puerto Rico,2020-11-10,72471,889
Puerto Rico,2020-11-09,72196,882
Puerto Rico,2020-11-08,71715,872
Puerto Rico,2020-11-07,71532,862
Puerto Rico,2020-11-06,70519,862
Puerto Rico,2020-11-05,69416,855
Puerto Rico,2020-11-04,69020,850
Puerto Rico,2020-11-03,68943,842
Puerto Rico,2020-11-02,68172,839
Puerto Rico,2020-11-01,66661,832
Puerto Rico,2020-10-31,66128,822
Puerto Rico,2020-10-30,65743,820
Puerto Rico,2020-10-29,64798,814
Puerto Rico,2020-10-28,63587,813
Puerto Rico,2020-10-27,63497,808
Puerto Rico,2020-10-26,63135,804
Puerto Rico,2020-10-25,62503,801
Puerto Rico,2020-10-24,61280,794
Puerto Rico,2020-10-23,60984,791
Puerto Rico,2020-10-22,59037,783
Puerto Rico,2020-10-21,58830,774
Puerto Rico,2020-10-20,58643,769
Puerto Rico,2020-10-19,57950,768
Puerto Rico,2020-10-18,57293,766
Puerto Rico,2020-10-17,56650,761
Puerto Rico,2020-10-16,56412,758
Puerto Rico,2020-10-15,56085,743
Puerto Rico,2020-10-14,55516,742
Puerto Rico,2020-10-13,54540,738
Puerto Rico,2020-10-12,54234,735
Puerto Rico,2020-10-11,53671,730
Puerto Rico,2020-10-10,53364,728
Puerto Rico,2020-10-09,52892,720
Puerto Rico,2020-10-08,52294,715
Puerto Rico,2020-10-07,51768,705
Puerto Rico,2020-10-06,51737,696
Puerto Rico,2020-10-05,51305,695
Puerto Rico,2020-10-04,50675,686
Puerto Rico,2020-10-03,50375,681
Puerto Rico,2020-10-02,49747,673
Puerto Rico,2020-10-01,49067,665
Puerto Rico,2020-09-30,48755,661
Puerto Rico,2020-09-29,48467,654
Puerto Rico,2020-09-28,47422,648
Puerto Rico,2020-09-27,46304,644
Puerto Rico,2020-09-26,45413,642
Puerto Rico,2020-09-25,44905,635
Puerto Rico,2020-09-24,43842,627
Puerto Rico,2020-09-23,42660,617
Puerto Rico,2020-09-22,42596,613
Puerto Rico,2020-09-21,42476,609
Puerto Rico,2020-09-20,41838,608
Puerto Rico,2020-09-19,40993,605
Puerto Rico,2020-09-18,39684,599
Puerto Rico,2020-09-17,38867,588
Puerto Rico,2020-09-16,38284,570
Puerto Rico,2020-09-15,38172,551
Puerto Rico,2020-09-14,37750,542
Puerto Rico,2020-09-13,37380,539
Puerto Rico,2020-09-12,37092,535
Puerto Rico,2020-09-11,36581,523
Puerto Rico,2020-09-10,36279,512
Puerto Rico,2020-09-09,35507,500
Puerto Rico,2020-09-08,35504,482
Puerto Rico,2020-09-07,35375,477
Puerto Rico,2020-09-06,34533,477
